अ,A
आ,AA
इ,I
ई,EE
उ,U
ऊ,OO
ऋ,RI
ए,AE
ऐ,AI
ऑ,AU
ओ,O
औ,OU
क,ka
ख,kha
ग,ga
घ,gha
ङ,nga
च,cha
छ,chha
ज,ja
झ,jha
ञ,nya
ट,Ta
ठ,Tha
ड,Da
ढ,Dha
ण,Na
त,ta
थ,tha
द,da
ध,dha
न,na
प,pa
फ,pha
ब,ba
भ,bha
म,ma
य,ya
र,ra
ल,la
व,va
श,sha
ष,Sha
स,sa
ह,ha
ज़,za
ड़,RDa
फ़,Fa
क्,k
कँ,kUn
कं,kAn
कः,kUh
का,kaa
कि,ki
की,kee
कु,ku
कू,koo
कृ,kri
के,ke
कै,kai
कॉ,kau
को,ko
कौ,kou
ख्,kh
खँ,khUn
खं,khAn
खः,khUh
खा,khaa
खि,khi
खी,khee
खु,khu
खू,khoo
खृ,khri
खे,khe
खै,khai
खॉ,khau
खो,kho
खौ,khou
ग्,g
गँ,gUn
गं,gAn
गः,gUh
गा,gaa
गि,gi
गी,gee
गु,gu
गू,goo
गृ,gri
गे,ge
गै,gai
गॉ,gau
गो,go
गौ,gou
घ्,gh
घँ,ghUn
घं,ghAn
घः,ghUh
घा,ghaa
घि,ghi
घी,ghee
घु,ghu
घू,ghoo
घृ,ghri
घे,ghe
घै,ghai
घॉ,ghau
घो,gho
घौ,ghou
ङ्,ng
ङँ,ngUn
ङं,ngAn
ङः,ngUh
ङा,ngaa
ङि,ngi
ङी,ngee
ङु,ngu
ङू,ngoo
ङृ,ngri
ङे,nge
ङै,ngai
ङॉ,ngau
ङो,ngo
ङौ,ngou
च्,ch
चँ,chUn
चं,chAn
चः,chUh
चा,chaa
चि,chi
ची,chee
चु,chu
चू,choo
चृ,chri
चे,che
चै,chai
चॉ,chau
चो,cho
चौ,chou
छ्,chh
छँ,chhUn
छं,chhAn
छः,chhUh
छा,chhaa
छि,chhi
छी,chhee
छु,chhu
छू,chhoo
छृ,chhri
छे,chhe
छै,chhai
छॉ,chhau
छो,chho
छौ,chhou
ज्,j
जँ,jUn
जं,jAn
जः,jUh
जा,jaa
जि,ji
जी,jee
जु,ju
जू,joo
जृ,jri
जे,je
जै,jai
जॉ,jau
जो,jo
जौ,jou
झ्,jh
झँ,jhUn
झं,jhAn
झः,jhUh
झा,jhaa
झि,jhi
झी,jhee
झु,jhu
झू,jhoo
झृ,jhri
झे,jhe
झै,jhai
झॉ,jhau
झो,jho
झौ,jhou
ञ्,ny
ञँ,nyUn
ञं,nyAn
ञः,nyUh
ञा,nyaa
ञि,nyi
ञी,nyee
ञु,nyu
ञू,nyoo
ञृ,nyri
ञे,nye
ञै,nyai
ञॉ,nyau
ञो,nyo
ञौ,nyou
ट्,T
टँ,TUn
टं,TAn
टः,TUh
टा,Taa
टि,Ti
टी,Tee
टु,Tu
टू,Too
टृ,Tri
टे,Te
टै,Tai
टॉ,Tau
टो,To
टौ,Tou
ठ्,Th
ठँ,ThUn
ठं,ThAn
ठः,ThUh
ठा,Thaa
ठि,Thi
ठी,Thee
ठु,Thu
ठू,Thoo
ठृ,Thri
ठे,The
